Code,Smiles
IS00002,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(cc1)N(C)C
IS00003,CC1Oc2cc(O)ccc2C(=O)C1C
IS00004,COc1ccc2C(=O)CC(C)(C)Oc2c1
IS00005,Oc1ccc2C(=O)CC3(CCCC3)Oc2c1
IS00006,Oc1ccc2C(=O)CC3(CCCCC3)Oc2c1
IS00007,COc1ccc2C(Cl)=C(C=O)C(C)(C)Oc2c1
IS00008,CC1(C)CC(=O)c2ccccc2O1
IS00009,CCOc1ccc2\C(CC(C)(C)Oc2c1)=N\O
IS00010,CCOc1ccc2C(=O)CC(C)(C)Oc2c1
IS00011,O=C(N1CCOCC1)N1CCc2c(C1)[nH]c1ccccc21
IS00012,Cc1ccsc1C(=O)N1CCc2c(C1)[nH]c1ccccc21
IS00013,Brc1ccc(o1)C(=O)N1CCc2c(C1)[nH]c1ccccc21
IS00014,Cc1ncsc1C(=O)N1CCc2c(C1)[nH]c1ccccc21
IS00015,O=C(N1CCc2c(C1)[nH]c1ccccc21)c1ccc2ccccc2n1
IS00016,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)[C@H]2c2ccc3OCOc3c2)C1=O
IS00017,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)[C@H]2c2ccc3OC(C)(C)Oc3c2)C1=O
IS00018,[H][C@](CCCNC(=O)OCc1ccccc1)(NC(=O)[C@H]1CCCN1C(=O)[C@]([H])(CCCNC(=O)OCc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@]([H])(Cc1ccc(O)cc1)C(=O)OC
IS00019,[H][C@](CCCNC(=O)OCc1ccccc1)(NC(=O)[C@H]1CCCN1C(=O)[C@]([H])(CCCNC(=O)OCc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@]([H])(Cc1ccccc1)C(=O)OC
IS00020,[H][C@](CCCNC(=O)OCc1ccccc1)(NC(=O)[C@H]1CCCN1C(=O)[C@]([H])(CCCNC(=O)OCc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@]([H])(CC1=CN=C2C=CC=CC12)C(=O)OC
IS00022,Clc1ccc(\C=C\C(=O)c2ccc[nH]2)c(Cl)c1
IS00023,O=C(\C=C\c1cccc2OCOc12)c1ccc[nH]1
IS00024,Fc1ccc(\C=C\C(=O)c2ccco2)cc1
IS00025,Clc1ccc(\C=C\C(=O)c2ccco2)cc1
IS00026,CN(C)c1ccc(\C=C\C(=O)c2ccco2)cc1
IS00028,COc1ccc(\C=C\C(=O)c2ccco2)cc1OC
IS00030,COc1cc(OC)c(C2=CCN(C)CC2)c(OC)c1
