Ids,Activity,Smiles
pk1,1,CN1CCN(CC1)c1cc(CN2CCC[C@H]2c2ncccc2C)nc(C)n1
pk2,1,CN1CCCN(CC1)c1cc(CN2CCC[C@H]2c2ncccc2C)nc(C)n1
pk3,1,CN(Cc1cc(ncn1)N1CCN(C)CC1)[C@H]1CCCc2cccnc12
pk4,1,C(N1CCNCCc2cccc(CCNCC1)n2)c1ccc(CN2CCNCCc3cccc(CCNCC2)n3)cc1
pk5,1,CC(C)(C)OC(=O)Cn1c2ccccc2c2ccnc(CN(CCCCN)[C@H]3CCCc4cccnc34)c12
pk6,1,C(CN(Cc1nccc2c3ccccc3n(CCC3CCOCC3)c12)[C@H]1CCCc2cccnc12)CN1CCNCC1
pk7,1,CCC1=CC=C(NCC2=CC=CC(CNC3=CC=C(CC)C=C3)=N2)C=C1
pk8,1,O=C(NCC1=CC=C(CNS(=O)(C2=C(F)C=C(F)C=C2)=O)C=C1)C3=NC=CN=C3
pk9,1,CN1CCN(CC1)c1nc(C)nc(CN2CCC[C@H]2c2ncccc2C)c1F
pk10,1,NCc1ncoc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc12
pk11,1,C(N(Cc1ccccn1)Cc1ccccn1)c1ccc2c(CN3CCCNCCNCCCNCC3)cccc2c1
pk12,1,CN1CCN(CC1)c1nc(C)nc(CN2CCC[C@H]2c2ncccc2C)c1C#N
pk13,1,NCCCCN(C[C@H]1CN(CCN1)S(=O)(=O)c1ccccc1)[C@H]1CCCc2cccnc12
pk14,1,NCCCCN(C[C@H]1CN(CCN1)S(=O)(=O)c1ccc(Cl)cc1)[C@H]1CCCc2cccnc12
pk15,1,Cc1nc(CN2CCC[C@H]2c2ncccc2C)cc(NCCN2CCOCC2)n1
pk16,1,CN(C[C@H]1Cc2c(CN1)cccc2N1CCN2CCC[C@H]2C1)[C@H]1CCCc2cccnc12
pk17,1,O=C(N)NCCCCN([C@H]1CCCc2c1nccc2)C[C@H]3Cc4c(CN3)cccc4
pk18,1,C(N(Cc1ccccn1)Cc1ccccn1)c1ccnc(c1)-c1cccc(CN2CCCNCCNCCCNCC2)c1
pk19,1,CN(C[C@H]1Cc2c(CN1)cccc2N1CCN2CCC[C@@H]2C1)[C@H]1CCCc2cccnc12
pk20,1,FC1(F)CCC(CC1)NCCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12
pk21,1,NCCCCN(Cc1nccc2c3ccccc3n(CCN3CCOCC3)c12)[C@H]1CCCc2cccnc12
pk22,1,NCCCCN(Cc1nccc2c3ccccc3n(CC3CC3)c12)[C@H]1CCCc2cccnc12
pk23,1,NCCCCN(Cc1nccc2c3ccccc3n(CCCN3CCNC(=O)C3)c12)[C@H]1CCCc2cccnc12
pk24,1,CN(C[C@H]1Cc2c(CN1)cccc2N1CCN(Cc2ccccn2)CC1)[C@H]1CCCc2cccnc12
pk25,1,C(N(Cc1ccccn1)Cc1ccccn1)c1ccc(cc1)-c1ncccc1CN1CCCNCCNCCCNCC1
pk26,1,NCCCn1c2ccccc2c2ccnc(CN(CCCN3CCNCC3)[C@H]3CCCc4cccnc34)c12
pk27,1,CO\N=C\c1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc23)c(CN)c1
pk28,1,COc1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc23)c(CN)c1
pk29,1,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc12
pk30,1,NCCCCN(Cc1nccc2c3ccccc3n(CC#C)c12)C1CCCc2cccnc12
pk31,1,NCCCCN(Cc1nccc2c3ccccc3n(CC(=O)N3CCOCC3)c12)C1CCCc2cccnc12
pk32,1,NCCCCN(Cc1nccc2c3ccccc3n(CCN3CCNCC3)c12)C1CCCc2cccnc12
pk33,1,C(N(Cc1ccccn1)Cc1ccccn1)c1ccc(cc1)-c1ccccc1CN1CCCNCCNCCCNCC1
pk34,1,NCCCCN(Cc1nccc2c3ccccc3n(CC(N)=O)c12)C1CCCc2cccnc12
pk35,1,NCCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCOc2cccnc12
pk36,1,NCCCCN(C[C@@H]1CN(CCN1)C(=O)c1ccccc1)[C@H]1CCCc2cccnc12
pk37,1,CN(C[C@H]1Cc2c(CN1)cccc2N1CCNCC1)[C@H]1CCCc2cccnc12
pk38,1,NCC1CC1CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12
pk39,1,NCCCCN(Cc1nccc2c3ccccc3n(CCCN)c12)[C@H]1CCCc2cccnc12
pk40,1,CC(C)NCCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12
pk41,1,NCCCCN(Cc1nccc2c3ccccc3n(CCCN)c12)C1CCCc2cccnc12
pk42,1,NCCCCN(Cc1nccc2c3ccccc3n(CCN3CCOCC3)c12)C1CCCc2cccnc12
pk43,1,C(N(Cc1ccccn1)Cc1ccccc1-c1cccc(CN2CCCNCCNCCCNCC2)c1)c1ccccn1
pk44,1,CC(N(CCCCN)Cc1ncccc1C)c1cc(C)ccn1
pk45,1,CN(C)CCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12
pk46,1,NCCCCN(Cc1nccc2c3ccccc3n(CC(=O)[I]=O)c12)C1CCCc2cccnc12
pk47,1,NCCCCN(Cc1nccc2c3ccccc3n(CCCN3CCNCC3)c12)C1CCCc2cccnc12
pk48,1,C\C(CN)=C\CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12
pk49,1,NC(=O)Cn1c2ccccc2c2ccnc(CN(CCCN3CCNCC3)[C@H]3CCCc4cccnc34)c12
pk50,1,NCCCCN(Cc1nccc2c3ccccc3n(CC#C)c12)[C@H]1CCCc2cccnc12
pk51,1,C(CN(Cc1nccc2c3ccccc3n(CCN3CCOCC3)c12)C1CCCc2cccnc12)CN1CCNCC1
pk52,1,CN(C[C@H]1Cc2c(CN1)cccc2N1C[C@@H]2CN(C)C[C@@H]2C1)[C@H]1CCCc2cccnc12
